58) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (66) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (73) boot:  2 factory          factory app      00 00 00010000 00100000
I (81) boot: End of partition table
I (85) esp_image: segment 0: paddr=0x00010020 vaddr=0x3f400020 size=0x23820 (145440) map
I (145) esp_image: segment 1: paddr=0x00033848 vaddr=0x3ffb0000 size=0x03164 ( 12644) load
I (150) esp_image: segment 2: paddr=0x000369b4 vaddr=0x40080000 size=0x00400 (  1024) load
I (152) esp_image: segment 3: paddr=0x00036dbc vaddr=0x40080400 size=0x09254 ( 37460) load
I (176) esp_image: segment 4: paddr=0x00040018 vaddr=0x400d0018 size=0x8cad8 (576216) map
I (378) esp_image: segment 5: paddr=0x000ccaf8 vaddr=0x40089654 size=0x06a4c ( 27212) load
I (399) boot: Loaded app from partition at offset 0x10000
I (399) boot: Disabling RNG early entropy source...
I (400) cpu_start: Pro cpu up.
I (403) cpu_start: Application information:
I (408) cpu_start: Project name:     akkaEsp32
I (413) cpu_start: App version:      v0.3-58-g421e464-dirty
I (420) cpu_start: Compile time:     Aug  1 2019 23:12:22
I (426) cpu_start: ELF file SHA256:  4a85524c328c8d67...
I (432) cpu_start: ESP-IDF:          v4.0-dev-459-gba1ff1692-dirty
I (439) cpu_start: Starting app cpu, entry point is 0x4008106c
I (0) cpu_start: App cpu up.
I (449) heap_init: Initializing. RAM available for dynamic allocation:
I (456) heap_init: At 3FFAE6E0 len 00001920 (6 KiB): DRAM
I (462) heap_init: At 3FFB9AB0 len 00026550 (153 KiB): DRAM
I (468) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
I (474) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
I (481) heap_init: At 400900A0 len 0000FF60 (63 KiB): IRAM
I (487) cpu_start: Pro cpu start user code
I (60) cpu_start: Starting scheduler on PRO CPU.
I (0) cpu_start: Starting scheduler on APP CPU.
  3FFBC7A0 I |       25 | ESP32-14936 |        main.cpp:  79 | Starting Akka on ESP8266 heap : 264508 
  3FFBCF90 I |    15194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    15200 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    15206 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    15216 | remote |      System.cpp:  16 |  heap:159064 stack:2880 heap free :224404 largest block : 113804 
  3FFBCF90 I |    15224 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/build = "Aug  1 2019 23:12:58"
  3FFBCF90 I |    15286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBB33C I |    15714 | remote |        Mqtt.cpp: 130 | MQTT_EVENT_SUBSCRIBED, msg_id=43277
  3FFBCF90 I |    16184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    16196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/config/config = "loaded"
  3FFBCF90 I |    16286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    17184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    17196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/wifi/rssi = -76
  3FFBCF90 I |    17286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBB33C I |    17799 | remote |        Mqtt.cpp: 130 | MQTT_EVENT_SUBSCRIBED, msg_id=33116
  3FFBCF90 I |    18184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    18286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    19184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    19196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/mqtt/clientId = "remote/mqtt#12345"
  3FFBCF90 I |    19286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    20184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    20194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    20202 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    20204 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    20214 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/txd = 0
  3FFBCF90 I |    20222 | remote |      System.cpp:  16 |  heap:157460 stack:3724 heap free :222800 largest block : 113804 
  3FFBCF90 I |    20286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    21184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    21196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/build = "Aug  1 2019 23:12:58"
  3FFBCF90 I |    21286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    22184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    22196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/config/config = "loaded"
  3FFBCF90 I |    22286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    23184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    23196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/wifi/rssi = -76
  3FFBCF90 I |    23286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    24184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    24286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFBCF90 I |    25184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    25194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    25202 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    25205 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    25214 | remote |      System.cpp:  16 |  heap:156336 stack:2880 heap free :221676 largest block : 113804 
  3FFBCF90 I |    25224 | remote |        Mqtt.cpp: 186 | PUB : src/remote/mqtt/clientId = "remote/mqtt#12345"
  3FFBCF90 I |    25286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    26185 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    26195 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/txd = 0
  3FFC9A50 I |    26287 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    27184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    27196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/build = "Aug  1 2019 23:12:58"
  3FFBCF90 I |    27286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    28184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    28196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/config/config = "loaded"
  3FFBCF90 I |    28286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFBCF90 I |    29184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    29196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/wifi/rssi = -76
  3FFBCF90 I |    29286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    30184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    30194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    30199 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    30206 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    30215 | remote |      System.cpp:  16 |  heap:155512 stack:2888 heap free :220852 largest block : 113804 
  3FFBCF90 I |    30286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    31184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    31196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/mqtt/clientId = "remote/mqtt#12345"
  3FFBCF90 I |    31286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    32184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    32195 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/txd = 0
  3FFBCF90 I |    32286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    33184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    33196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/build = "Aug  1 2019 23:12:58"
  3FFBCF90 I |    33286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFBCF90 I |    34184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    34195 | remote |        Mqtt.cpp: 186 | PUB : src/remote/config/config = "loaded"
  3FFBCF90 I |    34287 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    35184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    35194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    35200 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    35206 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    35216 | remote |      System.cpp:  16 |  heap:157072 stack:2664 heap free :222412 largest block : 113804 
  3FFBCF90 I |    35224 | remote |        Mqtt.cpp: 186 | PUB : src/remote/wifi/rssi = -76
  3FFC9A50 I |    35287 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFBCF90 I |    36184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    36286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    37184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    37196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/mqtt/clientId = "remote/mqtt#12345"
  3FFBCF90 I |    37286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    38184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    38195 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/txd = 0
  3FFBCF90 I |    38286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    39184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    39197 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/build = "Aug  1 2019 23:12:58"
  3FFBCF90 I |    39286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    40184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    40194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    40200 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    40206 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    40216 | remote |      System.cpp:  16 |  heap:156824 stack:2892 heap free :222164 largest block : 113804 
  3FFBCF90 I |    40224 | remote |        Mqtt.cpp: 186 | PUB : src/remote/config/config = "loaded"
  3FFBCF90 I |    40286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFBCF90 I |    41184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    41196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/wifi/rssi = -76
  3FFBCF90 I |    41286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    42184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    42236 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 460
  3FFBCF90 I |    42286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    42337 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 479
  3FFBCF90 I |    42386 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 492
  3FFBCF90 I |    42436 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 500
  3FFBCF90 I |    42486 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 514
  3FFBCF90 I |    42586 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 524
  3FFBCF90 I |    42636 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 530
  3FFBCF90 I |    42686 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 540
  3FFBCF90 I |    42736 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 548
  3FFBCF90 I |    42786 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 560
  3FFBCF90 I |    42836 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 567
  3FFBCF90 I |    42886 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 577
  3FFBCF90 I |    42936 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 584
  3FFBCF90 I |    42986 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 595
  3FFBCF90 I |    43036 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 602
  3FFBCF90 I |    43086 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 611
  3FFBCF90 I |    43136 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 616
  3FFBCF90 I |    43185 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    43189 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 620
  3FFBCF90 I |    43196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/mqtt/clientId = "remote/mqtt#12345"
  3FFBCF90 I |    43236 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 626
  3FFBCF90 I |    43286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    43290 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 644
  3FFBCF90 I |    43336 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 650
  3FFBCF90 I |    43387 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 658
  3FFBCF90 I |    43436 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 672
  3FFBCF90 I |    43486 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 682
  3FFBCF90 I |    43588 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 690
  3FFBCF90 I |    43636 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 696
  3FFBCF90 I |    43687 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 700
  3FFBCF90 I |    43736 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 711
  3FFBCF90 I |    43787 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 721
  3FFBCF90 I |    43837 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 726
  3FFC9A50 I |    43886 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 740
  3FFBCF90 I |    43936 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 756
  3FFBCF90 I |    43987 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 767
  3FFBCF90 I |    44037 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 776
  3FFC9A50 I |    44087 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 786
  3FFBCF90 I |    44136 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 804
  3FFBCF90 I |    44183 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFC9A50 I |    44188 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 824
  3FFBCF90 I |    44197 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/txd = 0
  3FFBCF90 I |    44236 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 842
  3FFBCF90 I |    44286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFC9A50 I |    44291 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 881
  3FFBCF90 I |    44336 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 911
  3FFBCF90 I |    44387 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 930
  3FFBCF90 I |    44437 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 947
  3FFBCF90 I |    44486 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 969
  3FFBCF90 I |    44585 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 988
  3FFBCF90 I |    44637 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 1003
  3FFBCF90 I |    44686 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 1016
  3FFBCF90 I |    44736 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 1020
  3FFBCF90 I |    45088 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 950
  3FFBCF90 I |    45136 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 910
  3FFBCF90 I |    45183 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    45188 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 869
  3FFBCF90 I |    45194 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    45203 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/simple = 1123
  3FFBCF90 I |    45209 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/complex = {"a":1,"b":true,"c":"a string","e":3.14}
  3FFBCF90 I |    45219 | remote |      System.cpp:  16 |  heap:152224 stack:3716 heap free :217564 largest block : 113804 
  3FFBCF90 I |    45231 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/build = "Aug  1 2019 23:12:58"
  3FFBCF90 I |    45243 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 853
  3FFBCF90 I |    45286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 517
  3FFBCF90 I |    45291 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 805
  3FFBCF90 I |    45337 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 786
  3FFBCF90 I |    45386 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 771
  3FFBCF90 I |    45436 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 746
  3FFBCF90 I |    45486 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 726
  3FFBCF90 I |    45585 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 707
  3FFBCF90 I |    45636 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 686
  3FFBCF90 I |    45686 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potRight = 660
